Canadian CMA,Country,Continent,Gender,Population,Latitude,Longitude
Abbotsford,United States of America,North America,Men+,110,49.049999,-122.316666
Abbotsford,Mexico,North America,Men+,10,49.049999,-122.316666
Abbotsford,Antigua and Barbuda,North America,Men+,10,49.049999,-122.316666
Abbotsford,Jamaica,North America,Men+,20,49.049999,-122.316666
Abbotsford,Brazil,South America,Men+,10,49.049999,-122.316666
Abbotsford,Chile,South America,Men+,10,49.049999,-122.316666
Abbotsford,Ecuador,South America,Men+,10,49.049999,-122.316666
Abbotsford,Paraguay,South America,Men+,10,49.049999,-122.316666
Abbotsford,Peru,South America,Men+,10,49.049999,-122.316666
Abbotsford,Germany,Europe,Men+,20,49.049999,-122.316666
Abbotsford,Russian Federation,Europe,Men+,20,49.049999,-122.316666
Abbotsford,Ukraine,Europe,Men+,10,49.049999,-122.316666
Abbotsford,Iceland,Europe,Men+,10,49.049999,-122.316666
Abbotsford,Ireland,Europe,Men+,15,49.049999,-122.316666
Abbotsford,United Kingdom,Europe,Men+,50,49.049999,-122.316666
Abbotsford,Croatia,Europe,Men+,10,49.049999,-122.316666
Abbotsford,Italy,Europe,Men+,25,49.049999,-122.316666
Abbotsford,Nigeria,Africa,Men+,30,49.049999,-122.316666
Abbotsford,Eritrea,Africa,Men+,20,49.049999,-122.316666
Abbotsford,Ethiopia,Africa,Men+,20,49.049999,-122.316666
Abbotsford,Kenya,Africa,Men+,15,49.049999,-122.316666
Abbotsford,Malawi,Africa,Men+,10,49.049999,-122.316666
Abbotsford,Mauritius,Africa,Men+,15,49.049999,-122.316666
Abbotsford,South Sudan,Africa,Men+,30,49.049999,-122.316666
Abbotsford,Egypt,Africa,Men+,20,49.049999,-122.316666
Abbotsford,"Congo, Democratic Republic of the",Africa,Men+,45,49.049999,-122.316666
Abbotsford,"South Africa, Republic of",Africa,Men+,25,49.049999,-122.316666
Abbotsford,Afghanistan,Asia,Men+,15,49.049999,-122.316666
Abbotsford,Azerbaijan,Asia,Men+,20,49.049999,-122.316666
Abbotsford,Iraq,Asia,Men+,10,49.049999,-122.316666
Abbotsford,Kuwait,Asia,Men+,10,49.049999,-122.316666
Abbotsford,Syria,Asia,Men+,120,49.049999,-122.316666
Abbotsford,Turkey,Asia,Men+,25,49.049999,-122.316666
Abbotsford,United Arab Emirates,Asia,Men+,10,49.049999,-122.316666
Abbotsford,China,Asia,Men+,50,49.049999,-122.316666
Abbotsford,"Korea, South",Asia,Men+,55,49.049999,-122.316666
Abbotsford,Indonesia,Asia,Men+,10,49.049999,-122.316666
Abbotsford,Philippines,Asia,Men+,205,49.049999,-122.316666
Abbotsford,Viet Nam,Asia,Men+,35,49.049999,-122.316666
Abbotsford,India,Asia,Men+,1905,49.049999,-122.316666
Abbotsford,Pakistan,Asia,Men+,70,49.049999,-122.316666
Abbotsford,United States of America,North America,Women+,65,49.049999,-122.316666
