Canadian Province/CMA,Gender,Mother tongue,Population,Province
Newfoundland and Labrador,Men+,English,790,Newfoundland and Labrador
Newfoundland and Labrador,Men+,French,50,Newfoundland and Labrador
Newfoundland and Labrador,Men+,"Cushitic languages, n.i.e.",10,Newfoundland and Labrador
Newfoundland and Labrador,Men+,Arabic,345,Newfoundland and Labrador
Newfoundland and Labrador,Men+,Tigrigna,55,Newfoundland and Labrador
Newfoundland and Labrador,Men+,Vietnamese,15,Newfoundland and Labrador
Newfoundland and Labrador,Men+,"Bisaya, n.o.s.",10,Newfoundland and Labrador
Newfoundland and Labrador,Men+,Cebuano,15,Newfoundland and Labrador
Newfoundland and Labrador,Men+,Ilocano,10,Newfoundland and Labrador
Newfoundland and Labrador,Men+,"Tagalog (Pilipino, Filipino)",295,Newfoundland and Labrador
Newfoundland and Labrador,Men+,Sango,10,Newfoundland and Labrador
Newfoundland and Labrador,Men+,"Creole, n.o.s.",10,Newfoundland and Labrador
Newfoundland and Labrador,Men+,Malayalam,25,Newfoundland and Labrador
Newfoundland and Labrador,Men+,Tamil,10,Newfoundland and Labrador
Newfoundland and Labrador,Men+,Telugu,10,Newfoundland and Labrador
Newfoundland and Labrador,Men+,Slavic languages,20,Newfoundland and Labrador
Newfoundland and Labrador,Men+,Russian,20,Newfoundland and Labrador
Newfoundland and Labrador,Men+,German,25,Newfoundland and Labrador
Newfoundland and Labrador,Men+,Afrikaans,10,Newfoundland and Labrador
Newfoundland and Labrador,Men+,Dutch,10,Newfoundland and Labrador
Newfoundland and Labrador,Men+,Danish,15,Newfoundland and Labrador
Newfoundland and Labrador,Men+,Swedish,10,Newfoundland and Labrador
Newfoundland and Labrador,Men+,Bengali,40,Newfoundland and Labrador
Newfoundland and Labrador,Men+,Gujarati,30,Newfoundland and Labrador
Newfoundland and Labrador,Men+,Hindi,30,Newfoundland and Labrador
Newfoundland and Labrador,Men+,Nepali,15,Newfoundland and Labrador
Newfoundland and Labrador,Men+,Punjabi (Panjabi),65,Newfoundland and Labrador
Newfoundland and Labrador,Men+,Sinhala (Sinhalese),10,Newfoundland and Labrador
Newfoundland and Labrador,Men+,Urdu,40,Newfoundland and Labrador
Newfoundland and Labrador,Men+,"Indo-Aryan languages, n.i.e.",10,Newfoundland and Labrador
Newfoundland and Labrador,Men+,Kurdish,15,Newfoundland and Labrador
Newfoundland and Labrador,Men+,Iranian Persian,10,Newfoundland and Labrador
Newfoundland and Labrador,Men+,"Persian (Farsi), n.o.s.",10,Newfoundland and Labrador
Newfoundland and Labrador,Men+,Portuguese,10,Newfoundland and Labrador
Newfoundland and Labrador,Men+,Spanish,40,Newfoundland and Labrador
Newfoundland and Labrador,Men+,Igbo,30,Newfoundland and Labrador
Newfoundland and Labrador,Men+,Shona,10,Newfoundland and Labrador
Newfoundland and Labrador,Men+,Swahili,15,Newfoundland and Labrador
Newfoundland and Labrador,Men+,Yoruba,50,Newfoundland and Labrador
Newfoundland and Labrador,Men+,"Nilo-Saharan languages, n.i.e.",10,Newfoundland and Labrador
Newfoundland and Labrador,Men+,Mandarin,75,Newfoundland and Labrador
Newfoundland and Labrador,Men+,Kazakh,10,Newfoundland and Labrador
Newfoundland and Labrador,Men+,Turkish,15,Newfoundland and Labrador
Newfoundland and Labrador,Women+,English,800,Newfoundland and Labrador
Newfoundland and Labrador,Women+,French,85,Newfoundland and Labrador
Newfoundland and Labrador,Women+,"Cushitic languages, n.i.e.",10,Newfoundland and Labrador
Newfoundland and Labrador,Women+,Arabic,345,Newfoundland and Labrador
Newfoundland and Labrador,Women+,Tigrigna,50,Newfoundland and Labrador
Newfoundland and Labrador,Women+,Vietnamese,20,Newfoundland and Labrador
Newfoundland and Labrador,Women+,Cebuano,15,Newfoundland and Labrador
Newfoundland and Labrador,Women+,Ilocano,30,Newfoundland and Labrador
Newfoundland and Labrador,Women+,"Tagalog (Pilipino, Filipino)",385,Newfoundland and Labrador
Newfoundland and Labrador,Women+,Sango,10,Newfoundland and Labrador
Newfoundland and Labrador,Women+,"Creole, n.o.s.",10,Newfoundland and Labrador
Newfoundland and Labrador,Women+,Malayalam,30,Newfoundland and Labrador
Newfoundland and Labrador,Women+,Tamil,10,Newfoundland and Labrador
Newfoundland and Labrador,Women+,Slavic languages,35,Newfoundland and Labrador
Newfoundland and Labrador,Women+,Russian,30,Newfoundland and Labrador
Newfoundland and Labrador,Women+,Bengali,35,Newfoundland and Labrador
Newfoundland and Labrador,Women+,Hindi,30,Newfoundland and Labrador
Newfoundland and Labrador,Women+,Nepali,10,Newfoundland and Labrador
Newfoundland and Labrador,Women+,Punjabi (Panjabi),35,Newfoundland and Labrador
Newfoundland and Labrador,Women+,Sinhala (Sinhalese),10,Newfoundland and Labrador
Newfoundland and Labrador,Women+,Urdu,50,Newfoundland and Labrador
Newfoundland and Labrador,Women+,Kurdish,20,Newfoundland and Labrador
Newfoundland and Labrador,Women+,Iranian Persian,15,Newfoundland and Labrador
Newfoundland and Labrador,Women+,Portuguese,20,Newfoundland and Labrador
Newfoundland and Labrador,Women+,Romanian,10,Newfoundland and Labrador
Newfoundland and Labrador,Women+,Spanish,35,Newfoundland and Labrador
Newfoundland and Labrador,Women+,Korean,30,Newfoundland and Labrador
Newfoundland and Labrador,Women+,Igbo,15,Newfoundland and Labrador
Newfoundland and Labrador,Women+,Shona,10,Newfoundland and Labrador
Newfoundland and Labrador,Women+,Swahili,20,Newfoundland and Labrador
Newfoundland and Labrador,Women+,Yoruba,35,Newfoundland and Labrador
Newfoundland and Labrador,Women+,"Niger-Congo languages, n.i.e.",15,Newfoundland and Labrador
Newfoundland and Labrador,Women+,Mandarin,120,Newfoundland and Labrador
Newfoundland and Labrador,Women+,Yue (Cantonese),10,Newfoundland and Labrador
Newfoundland and Labrador,Women+,Thai,10,Newfoundland and Labrador
Newfoundland and Labrador,Women+,Kazakh,10,Newfoundland and Labrador
St. John's,Men+,English,540,Newfoundland and Labrador
St. John's,Men+,French,40,Newfoundland and Labrador
St. John's,Men+,"Cushitic languages, n.i.e.",10,Newfoundland and Labrador
St. John's,Men+,Arabic,315,Newfoundland and Labrador
St. John's,Men+,Tigrigna,55,Newfoundland and Labrador
St. John's,Men+,Vietnamese,10,Newfoundland and Labrador
St. John's,Men+,Cebuano,10,Newfoundland and Labrador
St. John's,Men+,"Tagalog (Pilipino, Filipino)",120,Newfoundland and Labrador
St. John's,Men+,Sango,10,Newfoundland and Labrador
St. John's,Men+,Malayalam,15,Newfoundland and Labrador
St. John's,Men+,Tamil,10,Newfoundland and Labrador
St. John's,Men+,Slavic languages,15,Newfoundland and Labrador
St. John's,Men+,Russian,15,Newfoundland and Labrador
St. John's,Men+,German,10,Newfoundland and Labrador
St. John's,Men+,Afrikaans,10,Newfoundland and Labrador
St. John's,Men+,Danish,10,Newfoundland and Labrador
St. John's,Men+,Bengali,35,Newfoundland and Labrador
St. John's,Men+,Gujarati,30,Newfoundland and Labrador
St. John's,Men+,Hindi,15,Newfoundland and Labrador
St. John's,Men+,Punjabi (Panjabi),45,Newfoundland and Labrador
St. John's,Men+,Sinhala (Sinhalese),10,Newfoundland and Labrador
St. John's,Men+,Urdu,25,Newfoundland and Labrador
St. John's,Men+,"Indo-Aryan languages, n.i.e.",10,Newfoundland and Labrador
St. John's,Men+,Kurdish,10,Newfoundland and Labrador
