,GEO,Gender,Sociodemographic characteristics,Indicators,VALUE
0,Canada (excluding territories),"Total, all persons",Immigrants,Always or often feels lonely,12.1
1,Canada (excluding territories),"Total, all persons",Immigrants,Always or often feels lonely,12.8
2,Canada (excluding territories),"Total, all persons",Immigrants,Always or often feels lonely,12.0
3,Canada (excluding territories),"Total, all persons",Immigrants,Always or often feels lonely,14.3
4,Canada (excluding territories),"Total, all persons",Immigrants,Sometimes feels lonely,36.9
5,Canada (excluding territories),"Total, all persons",Immigrants,Sometimes feels lonely,35.9
6,Canada (excluding territories),"Total, all persons",Immigrants,Sometimes feels lonely,37.4
7,Canada (excluding territories),"Total, all persons",Immigrants,Sometimes feels lonely,39.1
8,Canada (excluding territories),"Total, all persons",Immigrants,Rarely or never feels lonely,51.0
9,Canada (excluding territories),"Total, all persons",Immigrants,Rarely or never feels lonely,51.3
10,Canada (excluding territories),"Total, all persons",Immigrants,Rarely or never feels lonely,50.6
11,Canada (excluding territories),"Total, all persons",Immigrants,Rarely or never feels lonely,46.6
12,Canada (excluding territories),"Total, all persons","Total, by visible minority group",Always or often feels lonely,14.3
13,Canada (excluding territories),"Total, all persons","Total, by visible minority group",Always or often feels lonely,14.0
14,Canada (excluding territories),"Total, all persons","Total, by visible minority group",Always or often feels lonely,12.7
15,Canada (excluding territories),"Total, all persons","Total, by visible minority group",Always or often feels lonely,14.4
16,Canada (excluding territories),"Total, all persons","Total, by visible minority group",Sometimes feels lonely,33.0
17,Canada (excluding territories),"Total, all persons","Total, by visible minority group",Sometimes feels lonely,33.5
18,Canada (excluding territories),"Total, all persons","Total, by visible minority group",Sometimes feels lonely,34.3
19,Canada (excluding territories),"Total, all persons","Total, by visible minority group",Sometimes feels lonely,35.3
20,Canada (excluding territories),"Total, all persons","Total, by visible minority group",Rarely or never feels lonely,52.7
21,Canada (excluding territories),"Total, all persons","Total, by visible minority group",Rarely or never feels lonely,52.5
22,Canada (excluding territories),"Total, all persons","Total, by visible minority group",Rarely or never feels lonely,53.0
23,Canada (excluding territories),"Total, all persons","Total, by visible minority group",Rarely or never feels lonely,50.3
24,Canada (excluding territories),"Total, all persons",Visible minority population,Always or often feels lonely,13.6
25,Canada (excluding territories),"Total, all persons",Visible minority population,Always or often feels lonely,14.1
26,Canada (excluding territories),"Total, all persons",Visible minority population,Always or often feels lonely,13.5
27,Canada (excluding territories),"Total, all persons",Visible minority population,Always or often feels lonely,13.9
28,Canada (excluding territories),"Total, all persons",Visible minority population,Sometimes feels lonely,36.3
29,Canada (excluding territories),"Total, all persons",Visible minority population,Sometimes feels lonely,37.6
30,Canada (excluding territories),"Total, all persons",Visible minority population,Sometimes feels lonely,39.9
31,Canada (excluding territories),"Total, all persons",Visible minority population,Sometimes feels lonely,40.9
