Canadian Province/CMA,Country,Continent,Gender,Population
Newfoundland and Labrador,United States of America,North America,Men+,75
Newfoundland and Labrador,Mexico,North America,Men+,15
Newfoundland and Labrador,Jamaica,North America,Men+,65
Newfoundland and Labrador,Trinidad and Tobago,North America,Men+,15
Newfoundland and Labrador,Brazil,South America,Men+,10
Newfoundland and Labrador,Colombia,South America,Men+,15
Newfoundland and Labrador,Belgium,Europe,Men+,10
Newfoundland and Labrador,France,Europe,Men+,15
Newfoundland and Labrador,Germany,Europe,Men+,15
Newfoundland and Labrador,Russian Federation,Europe,Men+,15
Newfoundland and Labrador,Denmark,Europe,Men+,20
Newfoundland and Labrador,Ireland,Europe,Men+,35
Newfoundland and Labrador,United Kingdom,Europe,Men+,90
Newfoundland and Labrador,Italy,Europe,Men+,10
Newfoundland and Labrador,Ghana,Africa,Men+,10
Newfoundland and Labrador,Nigeria,Africa,Men+,175
Newfoundland and Labrador,Eritrea,Africa,Men+,60
Newfoundland and Labrador,South Sudan,Africa,Men+,10
Newfoundland and Labrador,Zimbabwe,Africa,Men+,15
Newfoundland and Labrador,Egypt,Africa,Men+,25
Newfoundland and Labrador,Libya,Africa,Men+,20
Newfoundland and Labrador,Sudan,Africa,Men+,35
Newfoundland and Labrador,Tunisia,Africa,Men+,15
Newfoundland and Labrador,Central African Republic,Africa,Men+,10
Newfoundland and Labrador,"Congo, Democratic Republic of the",Africa,Men+,25
Newfoundland and Labrador,"South Africa, Republic of",Africa,Men+,35
Newfoundland and Labrador,Iran,Asia,Men+,20
Newfoundland and Labrador,Iraq,Asia,Men+,25
Newfoundland and Labrador,Jordan,Asia,Men+,20
Newfoundland and Labrador,Kazakhstan,Asia,Men+,10
Newfoundland and Labrador,Lebanon,Asia,Men+,35
Newfoundland and Labrador,Saudi Arabia,Asia,Men+,10
Newfoundland and Labrador,Syria,Asia,Men+,210
Newfoundland and Labrador,Turkey,Asia,Men+,25
Newfoundland and Labrador,United Arab Emirates,Asia,Men+,10
Newfoundland and Labrador,China,Asia,Men+,85
Newfoundland and Labrador,Philippines,Asia,Men+,380
Newfoundland and Labrador,Thailand,Asia,Men+,10
Newfoundland and Labrador,Viet Nam,Asia,Men+,15
Newfoundland and Labrador,Bangladesh,Asia,Men+,45
Newfoundland and Labrador,India,Asia,Men+,200
Newfoundland and Labrador,Pakistan,Asia,Men+,45
Newfoundland and Labrador,Sri Lanka,Asia,Men+,10
Newfoundland and Labrador,United States of America,North America,Women+,70
Newfoundland and Labrador,Mexico,North America,Women+,10
Newfoundland and Labrador,Jamaica,North America,Women+,75
Newfoundland and Labrador,Trinidad and Tobago,North America,Women+,15
Newfoundland and Labrador,Brazil,South America,Women+,15
Newfoundland and Labrador,Peru,South America,Women+,10
Newfoundland and Labrador,France,Europe,Women+,20
Newfoundland and Labrador,Germany,Europe,Women+,10
Newfoundland and Labrador,Switzerland,Europe,Women+,10
Newfoundland and Labrador,Romania,Europe,Women+,10
Newfoundland and Labrador,Russian Federation,Europe,Women+,15
Newfoundland and Labrador,Ukraine,Europe,Women+,10
Newfoundland and Labrador,Ireland,Europe,Women+,25
Newfoundland and Labrador,United Kingdom,Europe,Women+,35
Newfoundland and Labrador,Nigeria,Africa,Women+,120
Newfoundland and Labrador,Eritrea,Africa,Women+,40
Newfoundland and Labrador,Ethiopia,Africa,Women+,15
Newfoundland and Labrador,Mauritius,Africa,Women+,10
Newfoundland and Labrador,South Sudan,Africa,Women+,10
Newfoundland and Labrador,Tanzania,Africa,Women+,10
Newfoundland and Labrador,Zimbabwe,Africa,Women+,10
Newfoundland and Labrador,Egypt,Africa,Women+,10
Newfoundland and Labrador,Libya,Africa,Women+,35
Newfoundland and Labrador,Sudan,Africa,Women+,30
Newfoundland and Labrador,Tunisia,Africa,Women+,25
Newfoundland and Labrador,Cameroon,Africa,Women+,10
Newfoundland and Labrador,Central African Republic,Africa,Women+,20
Newfoundland and Labrador,"Congo, Democratic Republic of the",Africa,Women+,25
Newfoundland and Labrador,"South Africa, Republic of",Africa,Women+,25
Newfoundland and Labrador,Iran,Asia,Women+,15
Newfoundland and Labrador,Iraq,Asia,Women+,35
Newfoundland and Labrador,Jordan,Asia,Women+,10
Newfoundland and Labrador,Kazakhstan,Asia,Women+,15
Newfoundland and Labrador,Kuwait,Asia,Women+,10
