"REF_DATE","GEO","DGUID","Single and multiple mother tongue responses (3)","Age (8D)","Gender (3)","Statistics (3)","Mother tongue (234)","Immigrant status and period of immigration (11)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Newfoundland and Labrador","2021A000210","Total - Single and multiple mother tongue responses","Total - Age","Men+","Count","Total - Mother tongue","2016 to 2021","","0","units","0","","2.1.1.2.1.1.10","2095","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Total - Single and multiple mother tongue responses","Total - Age","Men+","Count","English","2016 to 2021","","0","units","0","","2.1.1.2.1.3.10","790","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Total - Single and multiple mother tongue responses","Total - Age","Men+","Count","French","2016 to 2021","","0","units","0","","2.1.1.2.1.4.10","50","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Total - Single and multiple mother tongue responses","Total - Age","Men+","Count","Cushitic languages, n.i.e.","2016 to 2021","","0","units","0","","2.1.1.2.1.21.10","10","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Total - Single and multiple mother tongue responses","Total - Age","Men+","Count","Arabic","2016 to 2021","","0","units","0","","2.1.1.2.1.24.10","345","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Total - Single and multiple mother tongue responses","Total - Age","Men+","Count","Tigrigna","2016 to 2021","","0","units","0","","2.1.1.2.1.32.10","55","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Total - Single and multiple mother tongue responses","Total - Age","Men+","Count","Vietnamese","2016 to 2021","","0","units","0","","2.1.1.2.1.36.10","15","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Total - Single and multiple mother tongue responses","Total - Age","Men+","Count","Bisaya, n.o.s.","2016 to 2021","","0","units","0","","2.1.1.2.1.40.10","10","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Total - Single and multiple mother tongue responses","Total - Age","Men+","Count","Cebuano","2016 to 2021","","0","units","0","","2.1.1.2.1.41.10","15","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Total - Single and multiple mother tongue responses","Total - Age","Men+","Count","Ilocano","2016 to 2021","","0","units","0","","2.1.1.2.1.44.10","10","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Total - Single and multiple mother tongue responses","Total - Age","Men+","Count","Tagalog (Pilipino, Filipino)","2016 to 2021","","0","units","0","","2.1.1.2.1.54.10","295","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Total - Single and multiple mother tongue responses","Total - Age","Men+","Count","Sango","2016 to 2021","","0","units","0","","2.1.1.2.1.62.10","10","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Total - Single and multiple mother tongue responses","Total - Age","Men+","Count","Creole, n.o.s.","2016 to 2021","","0","units","0","","2.1.1.2.1.63.10","10","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Total - Single and multiple mother tongue responses","Total - Age","Men+","Count","Malayalam","2016 to 2021","","0","units","0","","2.1.1.2.1.67.10","25","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Total - Single and multiple mother tongue responses","Total - Age","Men+","Count","Tamil","2016 to 2021","","0","units","0","","2.1.1.2.1.68.10","10","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Total - Single and multiple mother tongue responses","Total - Age","Men+","Count","Telugu","2016 to 2021","","0","units","0","","2.1.1.2.1.69.10","10","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Total - Single and multiple mother tongue responses","Total - Age","Men+","Count","Slavic languages","2016 to 2021","","0","units","0","","2.1.1.2.1.81.10","20","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Total - Single and multiple mother tongue responses","Total - Age","Men+","Count","Russian","2016 to 2021","","0","units","0","","2.1.1.2.1.87.10","20","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Total - Single and multiple mother tongue responses","Total - Age","Men+","Count","German","2016 to 2021","","0","units","0","","2.1.1.2.1.106.10","25","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Total - Single and multiple mother tongue responses","Total - Age","Men+","Count","Afrikaans","2016 to 2021","","0","units","0","","2.1.1.2.1.111.10","10","","","","0"
