"REF_DATE","GEO","DGUID","Number of residential properties owned","Immigration status","Other immigration characteristics","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Total, all periods of immigration","Number of property owners","Number","223","units","0","v1340309504","92.1.2.1.11","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Total, all periods of immigration","Median of total assessment value","Dollars","81","units","0","v1340309509","92.1.2.1.6","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Total, all periods of immigration","Median family total income","Dollars","81","units","0","v1340309511","92.1.2.1.8","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Total, all periods of immigration","Median age of property owners","Years","308","units","0","v1340309503","92.1.2.1.10","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Federal entrepreneur","Number of property owners","Number","223","units","0","v1340309570","92.1.2.7.11","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Federal entrepreneur","Median of total assessment value","Dollars","81","units","0","v1340309575","92.1.2.7.6","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Federal entrepreneur","Median family total income","Dollars","81","units","0","v1340309577","92.1.2.7.8","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Federal entrepreneur","Median age of property owners","Years","308","units","0","v1340309569","92.1.2.7.10","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Federal investor","Number of property owners","Number","223","units","0","v1340309581","92.1.2.8.11","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Federal investor","Median of total assessment value","Dollars","81","units","0","v1340309586","92.1.2.8.6","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Federal investor","Median family total income","Dollars","81","units","0","v1340309588","92.1.2.8.8","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Federal investor","Median age of property owners","Years","308","units","0","v1340309580","92.1.2.8.10","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Federal skilled worker","Number of property owners","Number","223","units","0","v1340309592","92.1.2.9.11","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Federal skilled worker","Median of total assessment value","Dollars","81","units","0","v1340309597","92.1.2.9.6","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Federal skilled worker","Median family total income","Dollars","81","units","0","v1340309599","92.1.2.9.8","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Federal skilled worker","Median age of property owners","Years","308","units","0","v1340309591","92.1.2.9.10","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Caregiver","Number of property owners","Number","223","units","0","v1340309603","92.1.2.10.11","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Caregiver","Median of total assessment value","Dollars","81","units","0","v1340309608","92.1.2.10.6","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Caregiver","Median family total income","Dollars","81","units","0","v1340309610","92.1.2.10.8","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Caregiver","Median age of property owners","Years","308","units","0","v1340309602","92.1.2.10.10","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Provincial and territorial nominee","Number of property owners","Number","223","units","0","v1340309614","92.1.2.11.11","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Provincial and territorial nominee","Median of total assessment value","Dollars","81","units","0","v1340309619","92.1.2.11.6","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Provincial and territorial nominee","Median family total income","Dollars","81","units","0","v1340309621","92.1.2.11.8","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Provincial and territorial nominee","Median age of property owners","Years","308","units","0","v1340309613","92.1.2.11.10","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Quebec investor","Number of property owners","Number","223","units","0","v1340309625","92.1.2.12.11","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Quebec investor","Median of total assessment value","Dollars","81","units","0","v1340309630","92.1.2.12.6","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Quebec investor","Median family total income","Dollars","81","units","0","v1340309632","92.1.2.12.8","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Quebec investor","Median age of property owners","Years","308","units","0","v1340309624","92.1.2.12.10","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Quebec skilled worker","Number of property owners","Number","223","units","0","v1340309636","92.1.2.13.11","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Quebec skilled worker","Median of total assessment value","Dollars","81","units","0","v1340309641","92.1.2.13.6","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Quebec skilled worker","Median family total income","Dollars","81","units","0","v1340309643","92.1.2.13.8","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Quebec skilled worker","Median age of property owners","Years","308","units","0","v1340309635","92.1.2.13.10","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Other economic admission category","Number of property owners","Number","223","units","0","v1340309647","92.1.2.14.11","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Other economic admission category","Median of total assessment value","Dollars","81","units","0","v1340309652","92.1.2.14.6","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Other economic admission category","Median family total income","Dollars","81","units","0","v1340309654","92.1.2.14.8","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Other economic admission category","Median age of property owners","Years","308","units","0","v1340309646","92.1.2.14.10","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Sponsored child","Number of property owners","Number","223","units","0","v1340309658","92.1.2.15.11","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Sponsored child","Median of total assessment value","Dollars","81","units","0","v1340309663","92.1.2.15.6","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Sponsored child","Median family total income","Dollars","81","units","0","v1340309665","92.1.2.15.8","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Sponsored child","Median age of property owners","Years","308","units","0","v1340309657","92.1.2.15.10","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Sponsored parent or grandparent","Number of property owners","Number","223","units","0","v1340309669","92.1.2.16.11","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Sponsored parent or grandparent","Median of total assessment value","Dollars","81","units","0","v1340309674","92.1.2.16.6","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Sponsored parent or grandparent","Median family total income","Dollars","81","units","0","v1340309676","92.1.2.16.8","","..","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, all number of properties owned categories","Immigrant","Sponsored parent or grandparent","Median age of property owners","Years","308","units","0","v1340309668","92.1.2.16.10","","..","","","0"
