"REF_DATE","GEO","DGUID","Visible minority","Selected sociodemographic characteristics","Indicators","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Canada","2016A000011124","Total – Visible minority","Immigrants","Satisfied with feeling part of the community","Percentage of persons","Percent","239","units","0","v1478226435","1.1.7.1.1","46.0","","","","1"
"2021","Canada","2016A000011124","Total – Visible minority","Immigrants","Satisfied with the neighbourhood","Percentage of persons","Percent","239","units","0","v1478226438","1.1.7.2.1","67.0","","","","1"
"2021","Canada","2016A000011124","Total – Visible minority","Immigrants","Feeling safe walking in their area alone after dark","Percentage of persons","Percent","239","units","0","v1478226441","1.1.7.3.1","78.0","","","","1"
"2021","Canada","2016A000011124","Total – Visible minority","Immigrants","Feeling unsafe walking in their area alone after dark","Percentage of persons","Percent","239","units","0","v1478226450","1.1.7.6.1","14.9","","","","1"
"2021","Canada","2016A000011124","Total – Visible minority","Immigrants","Difficulty in meeting household financial needs","Percentage of persons","Percent","239","units","0","v1478226444","1.1.7.4.1","29.0","","","","1"
"2021","Canada","2016A000011124","Total – Visible minority","Immigrants","Ease in meeting household financial needs","Percentage of persons","Percent","239","units","0","v1478226447","1.1.7.5.1","25.0","","","","1"
"2021","Canada","2016A000011124","Total visible minority population","Immigrants","Satisfied with feeling part of the community","Percentage of persons","Percent","239","units","0","v1478226579","1.2.7.1.1","46.0","","","","1"
"2021","Canada","2016A000011124","Total visible minority population","Immigrants","Satisfied with the neighbourhood","Percentage of persons","Percent","239","units","0","v1478226582","1.2.7.2.1","64.0","","","","1"
"2021","Canada","2016A000011124","Total visible minority population","Immigrants","Feeling safe walking in their area alone after dark","Percentage of persons","Percent","239","units","0","v1478226585","1.2.7.3.1","78.0","","","","1"
"2021","Canada","2016A000011124","Total visible minority population","Immigrants","Feeling unsafe walking in their area alone after dark","Percentage of persons","Percent","239","units","0","v1478226594","1.2.7.6.1","15.8","","","","1"
"2021","Canada","2016A000011124","Total visible minority population","Immigrants","Difficulty in meeting household financial needs","Percentage of persons","Percent","239","units","0","v1478226588","1.2.7.4.1","32.0","","","","1"
"2021","Canada","2016A000011124","Total visible minority population","Immigrants","Ease in meeting household financial needs","Percentage of persons","Percent","239","units","0","v1478226591","1.2.7.5.1","20.0","","","","1"
"2021","Canada","2016A000011124","South Asian","Immigrants","Satisfied with feeling part of the community","Percentage of persons","Percent","239","units","0","v1478226867","1.3.7.1.1","51.0","","","","1"
"2021","Canada","2016A000011124","South Asian","Immigrants","Satisfied with the neighbourhood","Percentage of persons","Percent","239","units","0","v1478226870","1.3.7.2.1","68.0","","","","1"
"2021","Canada","2016A000011124","South Asian","Immigrants","Feeling safe walking in their area alone after dark","Percentage of persons","Percent","239","units","0","v1478226873","1.3.7.3.1","83.2","","","","1"
"2021","Canada","2016A000011124","South Asian","Immigrants","Feeling unsafe walking in their area alone after dark","Percentage of persons","Percent","239","units","0","v1478226882","1.3.7.6.1","11.3","","","","1"
"2021","Canada","2016A000011124","South Asian","Immigrants","Difficulty in meeting household financial needs","Percentage of persons","Percent","239","units","0","v1478226876","1.3.7.4.1","34.0","","","","1"
"2021","Canada","2016A000011124","South Asian","Immigrants","Ease in meeting household financial needs","Percentage of persons","Percent","239","units","0","v1478226879","1.3.7.5.1","19.6","","","","1"
"2021","Canada","2016A000011124","Chinese","Immigrants","Satisfied with feeling part of the community","Percentage of persons","Percent","239","units","0","v1478227011","1.4.7.1.1","45.0","","","","1"
"2021","Canada","2016A000011124","Chinese","Immigrants","Satisfied with the neighbourhood","Percentage of persons","Percent","239","units","0","v1478227014","1.4.7.2.1","61.0","","","","1"
"2021","Canada","2016A000011124","Chinese","Immigrants","Feeling safe walking in their area alone after dark","Percentage of persons","Percent","239","units","0","v1478227017","1.4.7.3.1","77.0","","","","1"
"2021","Canada","2016A000011124","Chinese","Immigrants","Feeling unsafe walking in their area alone after dark","Percentage of persons","Percent","239","units","0","v1478227026","1.4.7.6.1","18.4","","","","1"
"2021","Canada","2016A000011124","Chinese","Immigrants","Difficulty in meeting household financial needs","Percentage of persons","Percent","239","units","0","v1478227020","1.4.7.4.1","23.0","","","","1"
"2021","Canada","2016A000011124","Chinese","Immigrants","Ease in meeting household financial needs","Percentage of persons","Percent","239","units","0","v1478227023","1.4.7.5.1","24.0","","","","1"
"2021","Canada","2016A000011124","Black","Immigrants","Satisfied with feeling part of the community","Percentage of persons","Percent","239","units","0","v1478227155","1.5.7.1.1","36.0","","","","1"
"2021","Canada","2016A000011124","Black","Immigrants","Satisfied with the neighbourhood","Percentage of persons","Percent","239","units","0","v1478227158","1.5.7.2.1","70.0","","","","1"
"2021","Canada","2016A000011124","Black","Immigrants","Feeling safe walking in their area alone after dark","Percentage of persons","Percent","239","units","0","v1478227161","1.5.7.3.1","74.0","","","","1"
"2021","Canada","2016A000011124","Black","Immigrants","Feeling unsafe walking in their area alone after dark","Percentage of persons","Percent","239","units","0","v1478227170","1.5.7.6.1","17.3","","","","1"
"2021","Canada","2016A000011124","Black","Immigrants","Difficulty in meeting household financial needs","Percentage of persons","Percent","239","units","0","v1478227164","1.5.7.4.1","41.0","","","","1"
"2021","Canada","2016A000011124","Black","Immigrants","Ease in meeting household financial needs","Percentage of persons","Percent","239","units","0","v1478227167","1.5.7.5.1","19.9","","","","1"
"2021","Canada","2016A000011124","Filipino","Immigrants","Satisfied with feeling part of the community","Percentage of persons","Percent","239","units","0","v1478227299","1.6.7.1.1","51.0","","","","1"
"2021","Canada","2016A000011124","Filipino","Immigrants","Satisfied with the neighbourhood","Percentage of persons","Percent","239","units","0","v1478227302","1.6.7.2.1","62.0","","","","1"
"2021","Canada","2016A000011124","Filipino","Immigrants","Feeling safe walking in their area alone after dark","Percentage of persons","Percent","239","units","0","v1478227305","1.6.7.3.1","76.0","","","","1"
"2021","Canada","2016A000011124","Filipino","Immigrants","Feeling unsafe walking in their area alone after dark","Percentage of persons","Percent","239","units","0","v1478227314","1.6.7.6.1","16.2","","","","1"
"2021","Canada","2016A000011124","Filipino","Immigrants","Difficulty in meeting household financial needs","Percentage of persons","Percent","239","units","0","v1478227308","1.6.7.4.1","30.0","","","","1"
"2021","Canada","2016A000011124","Filipino","Immigrants","Ease in meeting household financial needs","Percentage of persons","Percent","239","units","0","v1478227311","1.6.7.5.1","16.2","","","","1"
"2021","Canada","2016A000011124","Arab","Immigrants","Satisfied with feeling part of the community","Percentage of persons","Percent","239","units","0","v1478227443","1.7.7.1.1","47.0","","","","1"
"2021","Canada","2016A000011124","Arab","Immigrants","Satisfied with the neighbourhood","Percentage of persons","Percent","239","units","0","v1478227446","1.7.7.2.1","76.0","","","","1"
"2021","Canada","2016A000011124","Arab","Immigrants","Feeling safe walking in their area alone after dark","Percentage of persons","Percent","239","units","0","v1478227449","1.7.7.3.1","79.0","","","","1"
"2021","Canada","2016A000011124","Arab","Immigrants","Feeling unsafe walking in their area alone after dark","Percentage of persons","Percent","239","units","0","v1478227458","1.7.7.6.1","16.2","","","","1"
"2021","Canada","2016A000011124","Arab","Immigrants","Difficulty in meeting household financial needs","Percentage of persons","Percent","239","units","0","v1478227452","1.7.7.4.1","37.0","","","","1"
"2021","Canada","2016A000011124","Arab","Immigrants","Ease in meeting household financial needs","Percentage of persons","Percent","239","units","0","v1478227455","1.7.7.5.1","14.8","","","","1"
"2021","Canada","2016A000011124","Latin American","Immigrants","Satisfied with feeling part of the community","Percentage of persons","Percent","239","units","0","v1478227587","1.8.7.1.1","45.0","","","","1"
"2021","Canada","2016A000011124","Latin American","Immigrants","Satisfied with the neighbourhood","Percentage of persons","Percent","239","units","0","v1478227590","1.8.7.2.1","62.0","","","","1"
"2021","Canada","2016A000011124","Latin American","Immigrants","Feeling safe walking in their area alone after dark","Percentage of persons","Percent","239","units","0","v1478227593","1.8.7.3.1","78.0","","","","1"
"2021","Canada","2016A000011124","Latin American","Immigrants","Feeling unsafe walking in their area alone after dark","Percentage of persons","Percent","239","units","0","v1478227602","1.8.7.6.1","13.9","","","","1"
"2021","Canada","2016A000011124","Latin American","Immigrants","Difficulty in meeting household financial needs","Percentage of persons","Percent","239","units","0","v1478227596","1.8.7.4.1","44.0","","","","1"
"2021","Canada","2016A000011124","Latin American","Immigrants","Ease in meeting household financial needs","Percentage of persons","Percent","239","units","0","v1478227599","1.8.7.5.1","21.0","","","","1"
"2021","Canada","2016A000011124","Southeast Asian","Immigrants","Satisfied with feeling part of the community","Percentage of persons","Percent","239","units","0","v1478227731","1.9.7.1.1","34.0","","","","1"
"2021","Canada","2016A000011124","Southeast Asian","Immigrants","Satisfied with the neighbourhood","Percentage of persons","Percent","239","units","0","v1478227734","1.9.7.2.1","54.0","","","","1"
"2021","Canada","2016A000011124","Southeast Asian","Immigrants","Feeling safe walking in their area alone after dark","Percentage of persons","Percent","239","units","0","v1478227737","1.9.7.3.1","66.0","","","","1"
"2021","Canada","2016A000011124","Southeast Asian","Immigrants","Feeling unsafe walking in their area alone after dark","Percentage of persons","Percent","239","units","0","v1478227746","1.9.7.6.1","23.0","","","","1"
"2021","Canada","2016A000011124","Southeast Asian","Immigrants","Difficulty in meeting household financial needs","Percentage of persons","Percent","239","units","0","v1478227740","1.9.7.4.1","28.0","","","","1"
"2021","Canada","2016A000011124","Southeast Asian","Immigrants","Ease in meeting household financial needs","Percentage of persons","Percent","239","units","0","v1478227743","1.9.7.5.1","18.8","","","","1"
"2021","Canada","2016A000011124","Not a visible minority","Immigrants","Satisfied with feeling part of the community","Percentage of persons","Percent","239","units","0","v1478226723","1.10.7.1.1","47.0","","","","1"
