"REF_DATE","GEO","DGUID","Visible minority","Selected sociodemographic characteristics","Indicators","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020","Canada","2021A000011124","Total, by visible minority group","Immigrants","Reported that most people can be trusted in general","Percentage of persons","Percent","239","units","0","v1331459848","1.1.7.1.1","57.2","","","","1"
"2020","Canada","2021A000011124","Total, by visible minority group","Immigrants","Strong sense of belonging to the local community","Percentage of persons","Percent","239","units","0","v1331459851","1.1.7.2.1","77.2","","","","1"
"2020","Canada","2021A000011124","Total, by visible minority group","Immigrants","Strong sense of belonging to the town or city","Percentage of persons","Percent","239","units","0","v1331459854","1.1.7.3.1","81.3","","","","1"
"2020","Canada","2021A000011124","Total, by visible minority group","Immigrants","Strong sense of belonging to the province","Percentage of persons","Percent","239","units","0","v1331459857","1.1.7.4.1","81.1","","","","1"
"2020","Canada","2021A000011124","Total, by visible minority group","Immigrants","Strong sense of belonging to Canada","Percentage of persons","Percent","239","units","0","v1331459860","1.1.7.5.1","87.8","","","","1"
"2020","Canada","2021A000011124","Total – Visible minority","Immigrants","Reported that most people can be trusted in general","Percentage of persons","Percent","239","units","0","v1331460088","1.2.7.1.1","55.9","","","","1"
"2020","Canada","2021A000011124","Total – Visible minority","Immigrants","Strong sense of belonging to the local community","Percentage of persons","Percent","239","units","0","v1331460091","1.2.7.2.1","77.8","","","","1"
"2020","Canada","2021A000011124","Total – Visible minority","Immigrants","Strong sense of belonging to the town or city","Percentage of persons","Percent","239","units","0","v1331460094","1.2.7.3.1","82.2","","","","1"
"2020","Canada","2021A000011124","Total – Visible minority","Immigrants","Strong sense of belonging to the province","Percentage of persons","Percent","239","units","0","v1331460097","1.2.7.4.1","81.5","","","","1"
"2020","Canada","2021A000011124","Total – Visible minority","Immigrants","Strong sense of belonging to Canada","Percentage of persons","Percent","239","units","0","v1331460100","1.2.7.5.1","87.1","","","","1"
"2020","Canada","2021A000011124","South Asian","Immigrants","Reported that most people can be trusted in general","Percentage of persons","Percent","239","units","0","v1331460328","1.3.7.1.1","60.6","","","","1"
"2020","Canada","2021A000011124","South Asian","Immigrants","Strong sense of belonging to the local community","Percentage of persons","Percent","239","units","0","v1331460331","1.3.7.2.1","86.6","","","","1"
"2020","Canada","2021A000011124","South Asian","Immigrants","Strong sense of belonging to the town or city","Percentage of persons","Percent","239","units","0","v1331460334","1.3.7.3.1","88.8","","","","1"
"2020","Canada","2021A000011124","South Asian","Immigrants","Strong sense of belonging to the province","Percentage of persons","Percent","239","units","0","v1331460337","1.3.7.4.1","88.5","","","","1"
"2020","Canada","2021A000011124","South Asian","Immigrants","Strong sense of belonging to Canada","Percentage of persons","Percent","239","units","0","v1331460340","1.3.7.5.1","91.4","","","","1"
"2020","Canada","2021A000011124","Chinese","Immigrants","Reported that most people can be trusted in general","Percentage of persons","Percent","239","units","0","v1331460568","1.4.7.1.1","73.9","","","","1"
"2020","Canada","2021A000011124","Chinese","Immigrants","Strong sense of belonging to the local community","Percentage of persons","Percent","239","units","0","v1331460571","1.4.7.2.1","68.0","","","","1"
"2020","Canada","2021A000011124","Chinese","Immigrants","Strong sense of belonging to the town or city","Percentage of persons","Percent","239","units","0","v1331460574","1.4.7.3.1","74.1","","","","1"
"2020","Canada","2021A000011124","Chinese","Immigrants","Strong sense of belonging to the province","Percentage of persons","Percent","239","units","0","v1331460577","1.4.7.4.1","72.5","","","","1"
"2020","Canada","2021A000011124","Chinese","Immigrants","Strong sense of belonging to Canada","Percentage of persons","Percent","239","units","0","v1331460580","1.4.7.5.1","76.5","","","","1"
"2020","Canada","2021A000011124","Black","Immigrants","Reported that most people can be trusted in general","Percentage of persons","Percent","239","units","0","v1331460808","1.5.7.1.1","36.7","","","","1"
"2020","Canada","2021A000011124","Black","Immigrants","Strong sense of belonging to the local community","Percentage of persons","Percent","239","units","0","v1331460811","1.5.7.2.1","73.4","","","","1"
"2020","Canada","2021A000011124","Black","Immigrants","Strong sense of belonging to the town or city","Percentage of persons","Percent","239","units","0","v1331460814","1.5.7.3.1","79.9","","","","1"
"2020","Canada","2021A000011124","Black","Immigrants","Strong sense of belonging to the province","Percentage of persons","Percent","239","units","0","v1331460817","1.5.7.4.1","82.2","","","","1"
"2020","Canada","2021A000011124","Black","Immigrants","Strong sense of belonging to Canada","Percentage of persons","Percent","239","units","0","v1331460820","1.5.7.5.1","88.9","","","","1"
"2020","Canada","2021A000011124","Filipino","Immigrants","Reported that most people can be trusted in general","Percentage of persons","Percent","239","units","0","v1331461048","1.6.7.1.1","45.9","","","","1"
"2020","Canada","2021A000011124","Filipino","Immigrants","Strong sense of belonging to the local community","Percentage of persons","Percent","239","units","0","v1331461051","1.6.7.2.1","88.2","","","","1"
"2020","Canada","2021A000011124","Filipino","Immigrants","Strong sense of belonging to the town or city","Percentage of persons","Percent","239","units","0","v1331461054","1.6.7.3.1","89.3","","","","1"
"2020","Canada","2021A000011124","Filipino","Immigrants","Strong sense of belonging to the province","Percentage of persons","Percent","239","units","0","v1331461057","1.6.7.4.1","91.7","","","","1"
"2020","Canada","2021A000011124","Filipino","Immigrants","Strong sense of belonging to Canada","Percentage of persons","Percent","239","units","0","v1331461060","1.6.7.5.1","91.7","","","","1"
"2020","Canada","2021A000011124","Arab","Immigrants","Reported that most people can be trusted in general","Percentage of persons","Percent","239","units","0","v1331461288","1.7.7.1.1","44.2","","","","1"
"2020","Canada","2021A000011124","Arab","Immigrants","Strong sense of belonging to the local community","Percentage of persons","Percent","239","units","0","v1331461291","1.7.7.2.1","81.6","","","","1"
"2020","Canada","2021A000011124","Arab","Immigrants","Strong sense of belonging to the town or city","Percentage of persons","Percent","239","units","0","v1331461294","1.7.7.3.1","87.8","","","","1"
"2020","Canada","2021A000011124","Arab","Immigrants","Strong sense of belonging to the province","Percentage of persons","Percent","239","units","0","v1331461297","1.7.7.4.1","80.8","","","","1"
"2020","Canada","2021A000011124","Arab","Immigrants","Strong sense of belonging to Canada","Percentage of persons","Percent","239","units","0","v1331461300","1.7.7.5.1","91.4","","","","1"
"2020","Canada","2021A000011124","Latin American","Immigrants","Reported that most people can be trusted in general","Percentage of persons","Percent","239","units","0","v1331461528","1.8.7.1.1","54.2","","","","1"
"2020","Canada","2021A000011124","Latin American","Immigrants","Strong sense of belonging to the local community","Percentage of persons","Percent","239","units","0","v1331461531","1.8.7.2.1","76.7","","","","1"
"2020","Canada","2021A000011124","Latin American","Immigrants","Strong sense of belonging to the town or city","Percentage of persons","Percent","239","units","0","v1331461534","1.8.7.3.1","77.5","","","","1"
"2020","Canada","2021A000011124","Latin American","Immigrants","Strong sense of belonging to the province","Percentage of persons","Percent","239","units","0","v1331461537","1.8.7.4.1","79.7","","","","1"
"2020","Canada","2021A000011124","Latin American","Immigrants","Strong sense of belonging to Canada","Percentage of persons","Percent","239","units","0","v1331461540","1.8.7.5.1","90.6","","","","1"
"2020","Canada","2021A000011124","Southeast Asian","Immigrants","Reported that most people can be trusted in general","Percentage of persons","Percent","239","units","0","v1331461768","1.9.7.1.1","52.7","","","","1"
"2020","Canada","2021A000011124","Southeast Asian","Immigrants","Strong sense of belonging to the local community","Percentage of persons","Percent","239","units","0","v1331461771","1.9.7.2.1","76.6","","","","1"
"2020","Canada","2021A000011124","Southeast Asian","Immigrants","Strong sense of belonging to the town or city","Percentage of persons","Percent","239","units","0","v1331461774","1.9.7.3.1","78.2","","","","1"
"2020","Canada","2021A000011124","Southeast Asian","Immigrants","Strong sense of belonging to the province","Percentage of persons","Percent","239","units","0","v1331461777","1.9.7.4.1","75.5","","","","1"
"2020","Canada","2021A000011124","Southeast Asian","Immigrants","Strong sense of belonging to Canada","Percentage of persons","Percent","239","units","0","v1331461780","1.9.7.5.1","81.1","","","","1"
"2020","Canada","2021A000011124","Not a visible minority","Immigrants","Reported that most people can be trusted in general","Percentage of persons","Percent","239","units","0","v1331462008","1.10.7.1.1","60.1","","","","1"
"2020","Canada","2021A000011124","Not a visible minority","Immigrants","Strong sense of belonging to the local community","Percentage of persons","Percent","239","units","0","v1331462011","1.10.7.2.1","76.5","","","","1"
"2020","Canada","2021A000011124","Not a visible minority","Immigrants","Strong sense of belonging to the town or city","Percentage of persons","Percent","239","units","0","v1331462014","1.10.7.3.1","80.2","","","","1"
"2020","Canada","2021A000011124","Not a visible minority","Immigrants","Strong sense of belonging to the province","Percentage of persons","Percent","239","units","0","v1331462017","1.10.7.4.1","80.7","","","","1"
"2020","Canada","2021A000011124","Not a visible minority","Immigrants","Strong sense of belonging to Canada","Percentage of persons","Percent","239","units","0","v1331462020","1.10.7.5.1","89.7","","","","1"


