"REF_DATE","GEO","DGUID","Visible minority","Selected sociodemographic characteristics","Indicators","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020","Canada","2021A000011124","Total, by visible minority group","Immigrants","Having no one in the local personal network (close relatives and close friends)","Percentage of persons","Percent","239","units","0","v1458870466","1.1.7.1.1","3.8","","","","1"
"2020","Canada","2021A000011124","Total, by visible minority group","Immigrants","Having 1 to 14 people in the local personal network (close relatives and close friends)","Percentage of persons","Percent","239","units","0","v1458870469","1.1.7.2.1","53.0","","","","1"
"2020","Canada","2021A000011124","Total, by visible minority group","Immigrants","Having 15 or more people in the local personal network (closes relatives and closes friends)","Percentage of persons","Percent","239","units","0","v1458870493","1.1.7.10.1","43.2","","","","1"
"2020","Canada","2021A000011124","Total, by visible minority group","Immigrants","Feeling close to 4 relatives or less  ","Percentage of persons","Percent","239","units","0","v1458870472","1.1.7.3.1","60.2","","","","1"
"2020","Canada","2021A000011124","Total, by visible minority group","Immigrants","Feeling close to 5 relatives or more  ","Percentage of persons","Percent","239","units","0","v1458870475","1.1.7.4.1","39.8","","","","1"
"2020","Canada","2021A000011124","Total, by visible minority group","Immigrants","Having 4 close friends or less ","Percentage of persons","Percent","239","units","0","v1458870496","1.1.7.11.1","61.1","","","","1"
"2020","Canada","2021A000011124","Total, by visible minority group","Immigrants","Having 5 close friends or more ","Percentage of persons","Percent","239","units","0","v1458870478","1.1.7.5.1","38.9","","","","1"
"2020","Canada","2021A000011124","Total, by visible minority group","Immigrants","Having no other friends or acquaintances","Percentage of persons","Percent","239","units","0","v1458870481","1.1.7.6.1","6.7","","","","1"
"2020","Canada","2021A000011124","Total, by visible minority group","Immigrants","Having 1 to 19 other friends or acquaintances","Percentage of persons","Percent","239","units","0","v1458870484","1.1.7.7.1","60.7","","","","1"
"2020","Canada","2021A000011124","Total, by visible minority group","Immigrants","Having 20 or more other friends or acquaintances","Percentage of persons","Percent","239","units","0","v1458870487","1.1.7.8.1","32.7","","","","1"
"2020","Canada","2021A000011124","Total, by visible minority group","Immigrants","Having ethnically diverse networks of friends and acquaintances","Percentage of persons","Percent","239","units","0","v1458870490","1.1.7.9.1","37.4","","","","1"
"2020","Canada","2021A000011124","Total visible minority population","Immigrants","Having no one in the local personal network (close relatives and close friends)","Percentage of persons","Percent","239","units","0","v1458870994","1.2.7.1.1","3.7","","","","1"
"2020","Canada","2021A000011124","Total visible minority population","Immigrants","Having 1 to 14 people in the local personal network (close relatives and close friends)","Percentage of persons","Percent","239","units","0","v1458870997","1.2.7.2.1","52.2","","","","1"
"2020","Canada","2021A000011124","Total visible minority population","Immigrants","Having 15 or more people in the local personal network (closes relatives and closes friends)","Percentage of persons","Percent","239","units","0","v1458871021","1.2.7.10.1","44.1","","","","1"
"2020","Canada","2021A000011124","Total visible minority population","Immigrants","Feeling close to 4 relatives or less  ","Percentage of persons","Percent","239","units","0","v1458871000","1.2.7.3.1","59.9","","","","1"
"2020","Canada","2021A000011124","Total visible minority population","Immigrants","Feeling close to 5 relatives or more  ","Percentage of persons","Percent","239","units","0","v1458871003","1.2.7.4.1","40.1","","","","1"
"2020","Canada","2021A000011124","Total visible minority population","Immigrants","Having 4 close friends or less ","Percentage of persons","Percent","239","units","0","v1458871024","1.2.7.11.1","61.3","","","","1"
"2020","Canada","2021A000011124","Total visible minority population","Immigrants","Having 5 close friends or more ","Percentage of persons","Percent","239","units","0","v1458871006","1.2.7.5.1","38.7","","","","1"
"2020","Canada","2021A000011124","Total visible minority population","Immigrants","Having no other friends or acquaintances","Percentage of persons","Percent","239","units","0","v1458871009","1.2.7.6.1","6.5","","","","1"
"2020","Canada","2021A000011124","Total visible minority population","Immigrants","Having 1 to 19 other friends or acquaintances","Percentage of persons","Percent","239","units","0","v1458871012","1.2.7.7.1","59.6","","","","1"
"2020","Canada","2021A000011124","Total visible minority population","Immigrants","Having 20 or more other friends or acquaintances","Percentage of persons","Percent","239","units","0","v1458871015","1.2.7.8.1","33.9","","","","1"
"2020","Canada","2021A000011124","Total visible minority population","Immigrants","Having ethnically diverse networks of friends and acquaintances","Percentage of persons","Percent","239","units","0","v1458871018","1.2.7.9.1","45.1","","","","1"
"2020","Canada","2021A000011124","South Asian","Immigrants","Having no one in the local personal network (close relatives and close friends)","Percentage of persons","Percent","239","units","0","v1458871522","1.3.7.1.1","3.7","","","","1"
"2020","Canada","2021A000011124","South Asian","Immigrants","Having 1 to 14 people in the local personal network (close relatives and close friends)","Percentage of persons","Percent","239","units","0","v1458871525","1.3.7.2.1","53.2","","","","1"
"2020","Canada","2021A000011124","South Asian","Immigrants","Having 15 or more people in the local personal network (closes relatives and closes friends)","Percentage of persons","Percent","239","units","0","v1458871549","1.3.7.10.1","43.1","","","","1"
"2020","Canada","2021A000011124","South Asian","Immigrants","Feeling close to 4 relatives or less  ","Percentage of persons","Percent","239","units","0","v1458871528","1.3.7.3.1","55.8","","","","1"
"2020","Canada","2021A000011124","South Asian","Immigrants","Feeling close to 5 relatives or more  ","Percentage of persons","Percent","239","units","0","v1458871531","1.3.7.4.1","44.2","","","","1"
"2020","Canada","2021A000011124","South Asian","Immigrants","Having 4 close friends or less ","Percentage of persons","Percent","239","units","0","v1458871552","1.3.7.11.1","62.3","","","","1"
"2020","Canada","2021A000011124","South Asian","Immigrants","Having 5 close friends or more ","Percentage of persons","Percent","239","units","0","v1458871534","1.3.7.5.1","37.7","","","","1"
"2020","Canada","2021A000011124","South Asian","Immigrants","Having no other friends or acquaintances","Percentage of persons","Percent","239","units","0","v1458871537","1.3.7.6.1","7.2","","","","1"
"2020","Canada","2021A000011124","South Asian","Immigrants","Having 1 to 19 other friends or acquaintances","Percentage of persons","Percent","239","units","0","v1458871540","1.3.7.7.1","64.7","","","","1"
"2020","Canada","2021A000011124","South Asian","Immigrants","Having 20 or more other friends or acquaintances","Percentage of persons","Percent","239","units","0","v1458871543","1.3.7.8.1","28.2","","","","1"
"2020","Canada","2021A000011124","South Asian","Immigrants","Having ethnically diverse networks of friends and acquaintances","Percentage of persons","Percent","239","units","0","v1458871546","1.3.7.9.1","44.3","","","","1"
"2020","Canada","2021A000011124","Chinese","Immigrants","Having no one in the local personal network (close relatives and close friends)","Percentage of persons","Percent","239","units","0","v1458872050","1.4.7.1.1","3.3","","","","1"
"2020","Canada","2021A000011124","Chinese","Immigrants","Having 1 to 14 people in the local personal network (close relatives and close friends)","Percentage of persons","Percent","239","units","0","v1458872053","1.4.7.2.1","51.2","","","","1"
"2020","Canada","2021A000011124","Chinese","Immigrants","Having 15 or more people in the local personal network (closes relatives and closes friends)","Percentage of persons","Percent","239","units","0","v1458872077","1.4.7.10.1","45.5","","","","1"
"2020","Canada","2021A000011124","Chinese","Immigrants","Feeling close to 4 relatives or less  ","Percentage of persons","Percent","239","units","0","v1458872056","1.4.7.3.1","72.1","","","","1"
"2020","Canada","2021A000011124","Chinese","Immigrants","Feeling close to 5 relatives or more  ","Percentage of persons","Percent","239","units","0","v1458872059","1.4.7.4.1","27.9","","","","1"
"2020","Canada","2021A000011124","Chinese","Immigrants","Having 4 close friends or less ","Percentage of persons","Percent","239","units","0","v1458872080","1.4.7.11.1","60.4","","","","1"
"2020","Canada","2021A000011124","Chinese","Immigrants","Having 5 close friends or more ","Percentage of persons","Percent","239","units","0","v1458872062","1.4.7.5.1","39.6","","","","1"
"2020","Canada","2021A000011124","Chinese","Immigrants","Having no other friends or acquaintances","Percentage of persons","Percent","239","units","0","v1458872065","1.4.7.6.1","3.8","","","","1"
"2020","Canada","2021A000011124","Chinese","Immigrants","Having 1 to 19 other friends or acquaintances","Percentage of persons","Percent","239","units","0","v1458872068","1.4.7.7.1","58.7","","","","1"
